pitch_x,pitch_y,pitch_type,strike
-75,-98,FB,0
74,112,BRK,0
-16,112,FB,0
30,101,FB,0
48,-77,BRK,1
-28,-106,BRK,0
-46,-10,FB,1
69,7,FB,0
-42,54,FB,1
-52,-65,BRK,1
-10,84,BRK,0
-50,-11,FB,1
-74,-94,FB,0
-57,-11,FB,1
-66,-100,FB,0
-81,-92,BRK,0
1,-115,CHG,0
-76,-107,BRK,0
-48,11,FB,1
2,-15,BRK,1
6,-61,FB,0
-47,-69,FB,1
11,-82,BRK,1
-11,-95,FB,0
-77,-95,BRK,0
66,104,FB,0
57,-89,FB,0
-11,106,BRK,0
33,-101,BRK,0
68,9,BRK,0
-17,-84,FB,0
-46,113,FB,0
6,-49,FB,1
-23,-105,BRK,0
74,98,FB,0
79,86,FB,0
64,110,FB,0
-38,39,FB,0
-19,96,BRK,0
20,-20,BRK,1
-54,-61,FB,0
-8,36,BRK,1
-36,-26,FB,1
-77,-107,FB,0
22,-110,FB,0
-15,-50,FB,1
-78,-84,FB,0
40,4,FB,1
-33,116,BRK,0
17,-45,BRK,1
-14,108,FB,0
-48,104,FB,0
-44,48,FB,1
-57,-36,FB,1
71,66,BRK,0
-52,-53,FB,1
-15,-108,CHG,0
-62,-106,FB,0
-52,-71,FB,1
-7,-55,BRK,0
-57,-82,FB,0
-8,104,FB,0
56,11,FB,1
-96,-64,BRK,0
-59,-30,FB,0
46,-100,FB,0
38,-21,CHG,1
-56,-48,FB,1
-82,109,FB,0
2,-29,FB,1
-67,-101,BRK,0
-4,-98,BRK,0
-70,-79,FB,0
-73,-79,FB,0
13,-18,BRK,1
9,-45,FB,1
16,-106,FB,0
-73,-54,BRK,0
26,-110,BRK,0
40,33,FB,1
-91,92,FB,0
20,53,FB,1
-27,-63,BRK,1
-71,-83,FB,0
55,-82,FB,0
-33,106,FB,0
-89,-59,BRK,0
-86,41,FB,0
-72,-78,FB,0
-19,-32,FB,1
-79,84,FB,0
-50,-24,FB,1
-76,91,FB,0
20,30,BRK,1
-56,45,BRK,1
-78,92,BRK,0
20,-93,FB,0
-71,-78,FB,0
27,-107,FB,0
1,-83,FB,0
-80,62,FB,0
69,-71,FB,0
-2,-10,FB,1
68,-52,FB,0
89,32,FB,0
65,57,BRK,0
-82,-57,FB,0
-1,-27,FB,1
15,-7,BRK,1
-96,37,BRK,0
20,-15,FB,0
-8,-7,FB,1
-108,9,BRK,0
89,-4,BRK,0
11,117,FB,0
-95,-10,FB,0
75,50,BRK,0
-53,-58,FB,1
-89,-45,FB,0
8,-45,FB,0
9,-98,FB,0
35,-116,CHG,0
52,-113,BRK,0
1,-1,FB,1
-10,84,BRK,0
34,-20,FB,1
-29,18,BRK,1
21,-63,FB,1
-55,104,FB,0
35,-9,BRK,1
-91,-49,BRK,0
-75,85,FB,0
-41,33,FB,1
42,17,BRK,1
-48,-4,FB,1
-7,49,BRK,1
-85,83,BRK,0
42,23,FB,1
-72,-90,FB,0
-67,-108,BRK,0
-19,-110,FB,0
-51,16,FB,1
11,-101,FB,0
22,-108,FB,0
40,103,FB,0
45,-49,FB,1
3,-103,CHG,0
-59,5,FB,1
-79,-11,BRK,0
0,-104,FB,0
-74,77,FB,0
-47,46,FB,1
50,3,BRK,1
-54,-93,FB,0
15,12,BRK,1
76,4,FB,0
50,1,FB,1
1,-74,BRK,0
46,-14,FB,1
76,11,FB,0
79,111,BRK,0
-66,5,FB,1
69,47,BRK,0
-73,-40,FB,0
-15,-11,FB,1
5,91,FB,0
-76,28,FB,1
84,-73,BRK,0
-14,-3,CHG,0
4,96,FB,0
30,-23,FB,1
0,0,FB,0
5,-90,FB,0
-78,87,FB,0
40,-36,BRK,1
14,-9,FB,0
75,-35,FB,0
41,-45,BRK,1
5,-86,BRK,0
46,-20,BRK,1
-66,-1,BRK,1
-30,15,FB,1
-2,108,FB,0
91,-23,FB,0
-38,-108,BRK,0
-1,-20,FB,0
45,3,FB,1
20,-93,FB,0
12,13,BRK,1
-74,102,BRK,0
82,-45,FB,0
8,37,BRK,1
-72,81,BRK,0
84,-62,FB,0
54,-83,FB,0
-21,13,CHG,1
16,-15,BRK,1
-2,-25,BRK,1
-75,-85,BRK,0
48,94,FB,0
64,-88,FB,0
24,-23,CHG,1
-42,19,BRK,0
-71,-25,FB,0
54,-30,BRK,1
71,68,FB,0
74,97,FB,0
75,-2,CHG,0
28,111,FB,0
14,-51,FB,1
-71,97,BRK,0
38,-91,FB,0
35,-103,FB,0
24,-2,BRK,1
85,-12,FB,0
79,-58,FB,0
79,98,FB,0
-84,-27,FB,0
-42,-99,FB,0
-6,81,FB,1
-66,-25,FB,0
-77,93,FB,0
